id,time,x,y,z,tilt_fc,tilt_tw,z_smo,y_smo,t1,tVal,bin,windowSize,run_id,smo_prob,bin_hmm,run_idle_id,numbers,recipe_step
77,46.755S,0,0.96,-0.06,0,3.58,-0.06566209082841547,0.9515750348577325,1970-01-01T00:00:00Z,-20,-1,,1,6.789792210527559e-4,Idle,1,2200,Idle -1
78,46.758S,0,0.96,-0.06,0,3.65,-0.06566319973724472,0.9515758555114405,1970-01-01T00:00:00Z,-20,-1,,1,6.903765066056229e-4,Idle,1,2200,Idle -1
79,46.761S,0,0.96,-0.06,0,3.58,-0.06566430865284567,0.9515766841267413,1970-01-01T00:00:00Z,-20,-1,,1,7.275495254539844e-4,Idle,1,2200,Idle -1
80,46.765S,0,0.94,-0.06,1.79,4.76,-0.0656657872221692,0.9515778013921816,1970-01-01T00:00:00Z,-20,-1,,1,8.481197759653935e-4,Idle,1,2200,Idle -1
81,46.768S,0,0.96,-0.06,0,3.04,-0.06566689616404496,0.9515786487202957,1970-01-01T00:00:00Z,-20,-1,,1,7.883768718022781e-4,Idle,1,2200,Idle -1
82,46.77S,0,0.94,-0.06,0,3.65,-0.06566763546721231,0.9515792180913064,1970-01-01T00:00:00Z,-20,-1,,1,8.997127384986708e-4,Idle,1,2200,Idle -1
83,46.773S,0,0.94,-0.06,1.79,4.76,-0.06566874443683365,0.9515800789020842,1970-01-01T00:00:00Z,-20,-1,,1,8.875387635744089e-4,Idle,1,2200,Idle -1
84,46.776S,0,0.96,-0.08,0,3.69,-0.06566985342669353,0.9515809478490078,1970-01-01T00:00:00Z,-20,-1,,1,7.391307093619637e-4,Idle,1,2200,Idle -1
85,46.779S,0,0.96,-0.08,0,4.76,-0.06567096243948528,0.9515818249669878,1970-01-01T00:00:00Z,-20,-1,,1,6.932138502888555e-4,Idle,1,2200,Idle -1
86,46.782S,0,0.96,-0.08,0,4.76,-0.06567207147790226,0.9515827102909344,1970-01-01T00:00:00Z,-20,-1,,1,6.790279990071499e-4,Idle,1,2200,Idle -1
87,46.785S,0,0.96,-0.08,0,4.76,-0.06567318054463785,0.9515836038557585,1970-01-01T00:00:00Z,-20,-1,,1,6.748643849727106e-4,Idle,1,2200,Idle -1
88,46.788S,0,0.96,-0.06,0,3.69,-0.06567428964238542,0.951584505696371,1970-01-01T00:00:00Z,-20,-1,,1,6.745120605417702e-4,Idle,1,2200,Idle -1
89,46.79S,0,0.96,-0.06,0,3.58,-0.06567502905944271,0.9515851115383455,1970-01-01T00:00:00Z,-20,-1,,1,6.776569142650836e-4,Idle,1,2200,Idle -1
90,46.793S,0,0.96,-0.06,0,3.69,-0.06567613821486214,0.951586027249517,1970-01-01T00:00:00Z,-20,-1,,1,6.893207794484142e-4,Idle,1,2200,Idle -1
91,46.796S,0,0.96,-0.06,0,4.76,-0.06567724740847582,0.9515869513295714,1970-01-01T00:00:00Z,-20,-1,,1,7.277925920920993e-4,Idle,1,2200,Idle -1
92,46.799S,0,0.94,-0.06,0,4.76,-0.06567835664297716,0.9515878838134193,1970-01-01T00:00:00Z,-20,-1,,1,8.528738358113836e-4,Idle,1,2200,Idle -1
93,46.802S,0,0.96,-0.08,0,3.04,-0.06567946592105947,0.9515888247359713,1970-01-01T00:00:00Z,-20,-1,,1,7.998552435926007e-4,Idle,1,2200,Idle -1
94,46.806S,0,0.94,-0.08,0,3.65,-0.06568094503095044,0.9515900924865863,1970-01-01T00:00:00Z,-20,-1,,1,9.373559919444434e-4,Idle,1,2200,Idle -1
95,46.808S,-0.01,0.94,-0.06,0.6,4.76,-0.06568168461874058,0.9515907320368301,1970-01-01T00:00:00Z,-20,-1,,1,9.895845132728697e-4,Idle,1,2200,Idle -1
96,46.811S,-0.01,0.94,-0.08,0.61,4.86,-0.06568279404372611,0.9515916984849581,1970-01-01T00:00:00Z,-20,-1,,1,0.0010095481645065198,Idle,1,2200,Idle -1
97,46.814S,-0.01,0.94,-0.08,0.61,3.65,-0.06568390352306605,0.9515926735114325,1970-01-01T00:00:00Z,-20,-1,,1,0.0010172546428188181,Idle,1,2200,Idle -1
98,46.817S,-0.01,0.94,-0.06,0,4.76,-0.0656850130594538,0.9515936571511637,1970-01-01T00:00:00Z,-20,-1,,1,0.0010202166837851986,Idle,1,2200,Idle -1
99,46.82S,-0.01,0.94,-0.06,0,3.65,-0.06568612265558278,0.9515946494390629,1970-01-01T00:00:00Z,-20,-1,,1,0.0010211102582931867,Idle,1,2200,Idle -1
100,46.823S,0,0.94,-0.06,1.85,3.69,-0.06568723231414628,0.9515956504100402,1970-01-01T00:00:00Z,-20,-1,,1,0.0010205018101348327,Idle,1,2200,Idle -1
101,46.826S,-0.01,0.94,-0.06,0.61,3.65,-0.06568834203783769,0.9515966600990063,1970-01-01T00:00:00Z,-20,-1,,1,0.0010174262853039754,Idle,1,2200,Idle -1
102,46.829S,-0.01,0.94,-0.06,0,3.69,-0.06568945182935038,0.9515976785408718,1970-01-01T00:00:00Z,-20,-1,,1,0.0010084070268997073,Idle,1,2200,Idle -1
103,46.832S,-0.01,0.94,-0.06,0.61,3.04,-0.06569056169137769,0.9515987057705472,1970-01-01T00:00:00Z,-20,-1,,1,9.839235555126169e-4,Idle,1,2200,Idle -1
104,46.835S,0,0.94,-0.06,0.59,3.54,-0.065691671626613,0.9515997418229433,1970-01-01T00:00:00Z,-20,-1,,1,9.187415856243008e-4,Idle,1,2200,Idle -1
105,46.838S,-0.01,0.96,-0.06,0,4.76,-0.06569278163774969,0.9516007867329704,1970-01-01T00:00:00Z,-20,-1,,1,7.46291176940665e-4,Idle,1,2200,Idle -1
106,46.841S,-0.01,0.96,-0.08,0,3.65,-0.06569389172748111,0.9516018405355394,1970-01-01T00:00:00Z,-20,-1,,1,6.93036085980216e-4,Idle,1,2200,Idle -1
107,46.844S,-0.01,0.96,-0.08,0.6,4.76,-0.0656950018985006,0.9516029032655606,1970-01-01T00:00:00Z,-20,-1,,1,6.765147139778722e-4,Idle,1,2200,Idle -1
108,46.848S,-0.01,0.96,-0.08,0.6,4.76,-0.06569648225762992,0.9516043341864096,1970-01-01T00:00:00Z,-20,-1,,1,6.713256382899803e-4,Idle,1,2200,Idle -1
109,46.85S,-0.01,0.96,-0.08,0.6,4.76,-0.06569722249517732,0.9516050556476023,1970-01-01T00:00:00Z,-20,-1,,1,6.697679591697361e-4,Idle,1,2200,Idle -1
110,46.853S,-0.01,0.96,-0.08,0,3.65,-0.06569833292622128,0.9516061453694441,1970-01-01T00:00:00Z,-20,-1,,1,6.6960340842994e-4,Idle,1,2200,Idle -1
111,46.856S,-0.01,0.96,-0.08,0.6,3.58,-0.06569944344932677,0.9516072441583803,1970-01-01T00:00:00Z,-20,-1,,1,6.7085360460783e-4,Idle,1,2200,Idle -1
112,46.859S,-0.01,0.96,-0.08,0.6,4.76,-0.06570055406718718,0.9516083520493219,1970-01-01T00:00:00Z,-20,-1,,1,6.757435384905556e-4,Idle,1,2200,Idle -1
113,46.862S,-0.01,0.96,-0.08,0.6,4.76,-0.06570166478249587,0.9516094690771792,1970-01-01T00:00:00Z,-20,-1,,1,6.921659241603381e-4,Idle,1,2200,Idle -1
114,46.865S,-0.01,0.96,-0.08,0,4.76,-0.06570277559794618,0.9516105952768631,1970-01-01T00:00:00Z,-20,-1,,1,7.459721406215357e-4,Idle,1,2200,Idle -1
115,46.868S,0,0.94,-0.08,0.61,4.86,-0.06570388651623152,0.9516117306832839,1970-01-01T00:00:00Z,-20,-1,,1,9.212400482324032e-4,Idle,1,2200,Idle -1
116,46.871S,0,0.94,-0.06,0,3.69,-0.06570499754004519,0.9516128753313523,1970-01-01T00:00:00Z,-20,-1,,1,9.88079335793937e-4,Idle,1,2200,Idle -1
117,46.874S,0,0.94,-0.06,0,3.65,-0.06570610867208061,0.9516140292559788,1970-01-01T00:00:00Z,-20,-1,,1,0.0010137245710969956,Idle,1,2200,Idle -1
118,46.877S,0,0.94,-0.06,1.79,3.58,-0.06570721991503112,0.951615192492074,1970-01-01T00:00:00Z,-20,-1,,1,0.0010237142776628387,Idle,1,2200,Idle -1
119,46.88S,0,0.94,-0.06,0,3.08,-0.06570833127159008,0.9516163650745487,1970-01-01T00:00:00Z,-20,-1,,1,0.001027744508648025,Idle,1,2200,Idle -1
120,46.882S,0,0.94,-0.08,0,4.76,-0.06570907224040859,0.9516171520058714,1970-01-01T00:00:00Z,-20,-1,,1,0.0010294808164790638,Idle,1,2200,Idle -1
121,46.885S,0,0.94,-0.08,0,4.86,-0.06571018379230022,0.9516183402432239,1970-01-01T00:00:00Z,-20,-1,,1,0.0010304036245537133,Idle,1,2200,Idle -1
122,46.888S,0,0.94,-0.08,0.62,4.92,-0.06571129546498262,0.9516195379200507,1970-01-01T00:00:00Z,-20,-1,,1,0.001031031560988418,Idle,1,2200,Idle -1
123,46.892S,0,0.94,-0.06,0,3.65,-0.06571277788777777,0.9516211495664525,1970-01-01T00:00:00Z,-20,-1,,1,0.0010315817652438155,Idle,1,2200,Idle -1
124,46.895S,0,0.94,-0.06,0,3.65,-0.06571388985277947,0.9516223694044826,1970-01-01T00:00:00Z,-20,-1,,1,0.0010320484206066739,Idle,1,2200,Idle -1
125,46.898S,0,0.94,-0.06,0,3.65,-0.06571500194754981,0.9516235987983556,1970-01-01T00:00:00Z,-20,-1,,1,0.00103247741909197,Idle,1,2200,Idle -1
126,46.901S,0,0.94,-0.06,0.6,3.58,-0.06571611417478217,0.9516248377829821,1970-01-01T00:00:00Z,-20,-1,,1,0.0010328730500494896,Idle,1,2200,Idle -1
127,46.904S,0,0.94,-0.06,0,3.65,-0.06571722653716985,0.9516260863932724,1970-01-01T00:00:00Z,-20,-1,,1,0.001033202346630218,Idle,1,2200,Idle -1
128,46.906S,0,0.94,-0.06,0,3.65,-0.06571796818851136,0.9516269241649636,1970-01-01T00:00:00Z,-20,-1,,1,0.0010333619077011788,Idle,1,2200,Idle -1
129,46.909S,0,0.94,-0.06,0,4.86,-0.06571908078214327,0.9516281888956066,1970-01-01T00:00:00Z,-20,-1,,1,0.0010332204246379672,Idle,1,2200,Idle -1
130,46.912S,0,0.94,-0.06,0,3.65,-0.06572019351811284,0.9516294633450083,1970-01-01T00:00:00Z,-20,-1,,1,0.001032194735708737,Idle,1,2200,Idle -1
131,46.915S,0,0.94,-0.06,0,4.86,-0.06572130639911344,0.9516307475480799,1970-01-01T00:00:00Z,-20,-1,,1,0.001028808945053542,Idle,1,2200,Idle -1
