id,time,x,y,z,z_smo,y_smo,t1,tVal,bin,windowSize,run_id,smo_prob,bin_hmm,run_idle_id,numbers,recipe_step
70,630.436S,2.47,0.96,0.43,0.433257707989243,0.9598160155522458,1970-01-01T00:00:00Z,-20,0,,1,3.9577090839457423e-4,idle,1,1085,idle 0
71,630.44S,2.47,0.96,0.45,0.43325655600955654,0.9598163450394176,1970-01-01T00:00:00Z,-20,0,,1,8.407717035370232e-4,idle,1,1085,idle 0
72,630.445S,2.47,0.96,0.43,0.4332551322060284,0.9598167563791051,1970-01-01T00:00:00Z,-20,0,,1,4.915567975655667e-4,idle,1,1085,idle 0
73,630.449S,2.47,0.96,0.45,0.4332540061370106,0.9598170850540426,1970-01-01T00:00:00Z,-20,0,,1,8.410226818385811e-4,idle,1,1085,idle 0
74,630.452S,2.47,0.96,0.43,0.43325316917319096,0.9598173313387922,1970-01-01T00:00:00Z,-20,0,,1,3.9570985388335763e-4,idle,1,1085,idle 0
75,630.456S,2.47,0.96,0.43,0.4332520633630012,0.9598176594354342,1970-01-01T00:00:00Z,-20,0,,1,3.236713289730529e-4,idle,1,1085,idle 0
76,630.46S,2.47,0.96,0.43,0.43325096917096123,0.9598179872226164,1970-01-01T00:00:00Z,-20,0,,1,3.1207836402911835e-4,idle,1,1085,idle 0
77,630.464S,2.47,0.96,0.43,0.43324988662738156,0.9598183147156087,1970-01-01T00:00:00Z,-20,0,,1,3.106652106518731e-4,idle,1,1085,idle 0
78,630.468S,2.47,0.96,0.43,0.4332488157625722,0.9598186419296801,1970-01-01T00:00:00Z,-20,0,,1,3.1338774269667097e-4,idle,1,1085,idle 0
79,630.471S,2.47,0.96,0.43,0.4332480202963918,0.9598188871663773,1970-01-01T00:00:00Z,-20,0,,1,3.321699010787936e-4,idle,1,1085,idle 0
80,630.475S,2.47,0.96,0.43,0.4332469699423648,0.9598192139290788,1970-01-01T00:00:00Z,-20,0,,1,4.486965549428168e-4,idle,1,1085,idle 0
81,630.479S,2.47,0.96,0.45,0.43324593135046136,0.95981954045485,1970-01-01T00:00:00Z,-20,0,,1,0.0011694434666621738,idle,1,1085,idle 0
82,630.483S,2.47,0.96,0.45,0.4332449045509919,0.9598198667589598,1970-01-01T00:00:00Z,-20,0,,1,0.0014702874546057233,idle,1,1085,idle 0
83,630.488S,2.47,0.96,0.45,0.43324363768094093,0.9598202743506479,1970-01-01T00:00:00Z,-20,0,,1,0.0015895628047145577,idle,1,1085,idle 0
84,630.492S,2.47,0.96,0.45,0.43324263752526976,0.9598206002118486,1970-01-01T00:00:00Z,-20,0,,1,0.0016213277650623757,idle,1,1085,idle 0
85,630.495S,2.47,0.96,0.45,0.43324189521028966,0.9598208444940152,1970-01-01T00:00:00Z,-20,0,,1,0.001590314775735672,idle,1,1085,idle 0
86,630.499S,2.47,0.96,0.45,0.43324091588365854,0.959821170064173,1970-01-01T00:00:00Z,-20,0,,1,0.001471599342258089,idle,1,1085,idle 0
87,630.503S,2.47,0.96,0.45,0.43323994850101266,0.9598214954890157,1970-01-01T00:00:00Z,-20,0,,1,0.0011706631180311345,idle,1,1085,idle 0
88,630.507S,2.47,0.96,0.43,0.43323899309266245,0.9598218207838131,1970-01-01T00:00:00Z,-20,0,,1,4.4869573126633496e-4,idle,1,1085,idle 0
89,630.511S,2.47,0.96,0.43,0.43323804968891794,0.959822145963834,1970-01-01T00:00:00Z,-20,0,,1,3.3197515705866266e-4,idle,1,1085,idle 0
90,630.514S,2.47,0.96,0.43,0.43323735003236574,0.9598223897827131,1970-01-01T00:00:00Z,-20,0,,1,3.1309581965982607e-4,idle,1,1085,idle 0
91,630.518S,2.47,0.96,0.43,0.43323642770961546,0.9598227147986169,1970-01-01T00:00:00Z,-20,0,,1,3.10028675308315e-4,idle,1,1085,idle 0
92,630.522S,2.47,0.96,0.43,0.4332355174748243,0.959823039741735,1970-01-01T00:00:00Z,-20,0,,1,3.095175198346082e-4,idle,1,1085,idle 0
93,630.526S,2.47,0.96,0.43,0.43323461935830254,0.959823364627336,1970-01-01T00:00:00Z,-20,0,,1,3.0941928995033996e-4,idle,1,1085,idle 0
94,630.531S,2.47,0.96,0.43,0.43323351380014236,0.9598237706767168,1970-01-01T00:00:00Z,-20,0,,1,3.093854750425983e-4,idle,1,1085,idle 0
95,630.535S,2.47,0.96,0.43,0.43323264306054843,0.9598240954887337,1970-01-01T00:00:00Z,-20,0,,1,3.0936584006366834e-4,idle,1,1085,idle 0
96,630.538S,2.47,0.96,0.43,0.4332319980214558,0.9598243390917326,1970-01-01T00:00:00Z,-20,0,,1,3.0935123172289806e-4,idle,1,1085,idle 0
97,630.542S,2.47,0.96,0.43,0.433231148681114,0.9598246638999597,1970-01-01T00:00:00Z,-20,0,,1,3.0933458322471606e-4,idle,1,1085,idle 0
98,630.546S,2.47,0.96,0.43,0.4332303116105929,0.9598249887270167,1970-01-01T00:00:00Z,-20,0,,1,3.093178254147978e-4,idle,1,1085,idle 0
99,630.55S,2.47,0.96,0.43,0.43322948684020285,0.9598253135881721,1970-01-01T00:00:00Z,-20,0,,1,3.093013221529448e-4,idle,1,1085,idle 0
100,630.554S,2.47,0.96,0.43,0.4332286744002539,0.9598256384986962,1970-01-01T00:00:00Z,-20,0,,1,3.092854511829737e-4,idle,1,1085,idle 0
