292284	0.28	0.90	-0.05	-17.28	3.18
292287	0.26	0.90	-0.06	-16.11	3.81
292290	0.28	0.90	-0.05	-17.28	3.18
292293	0.28	0.91	-0.06	-17.10	3.77
292296	0.28	0.91	-0.06	-17.10	3.77
292299	0.26	0.91	-0.06	-15.95	3.77
292303	0.29	0.91	-0.06	-17.68	3.77
292306	0.26	0.91	-0.06	-15.95	3.77
292310	0.26	0.91	-0.06	-15.95	3.77
292313	0.29	0.90	-0.06	-17.86	3.81
292316	0.28	0.90	-0.05	-17.28	3.18
292319	0.29	0.91	-0.05	-17.68	3.14
292322	0.26	0.91	-0.08	-15.95	5.02
292325	0.26	0.90	-0.05	-16.11	3.18
292328	0.29	0.90	-0.06	-17.86	3.81
292332	0.28	0.91	-0.08	-17.10	5.02
292335	0.26	0.90	-0.06	-16.11	3.81
292338	0.26	0.90	-0.05	-16.11	3.18
292341	0.28	0.90	-0.05	-17.28	3.18
292344	0.29	0.90	-0.05	-17.86	3.18
292347	0.28	0.91	-0.08	-17.10	5.02
292350	0.28	0.91	-0.05	-17.10	3.14
292354	0.25	0.90	-0.06	-15.52	3.81
292357	0.26	0.91	-0.05	-15.95	3.14
292360	0.26	0.91	-0.06	-15.95	3.77
292364	0.26	0.91	-0.06	-15.95	3.77
292367	0.29	0.90	-0.06	-17.86	3.81
292370	0.28	0.91	-0.06	-17.10	3.77
292373	0.28	0.90	-0.05	-17.28	3.18
292376	0.28	0.91	-0.06	-17.10	3.77
292379	0.28	0.90	-0.08	-17.28	5.08
292382	0.26	0.91	-0.06	-15.95	3.77
292385	0.26	0.91	-0.06	-15.95	3.77
292388	0.26	0.91	-0.05	-15.95	3.14
292391	0.26	0.90	-0.06	-16.11	3.81
292396	0.28	0.88	-0.08	-17.65	5.19
292399	0.28	0.90	-0.06	-17.28	3.81
292402	0.28	0.90	-0.06	-17.28	3.81
292405	0.28	0.90	-0.06	-17.28	3.81
292408	0.29	0.90	-0.06	-17.86	3.81
292411	0.28	0.90	-0.06	-17.28	3.81
292414	0.28	0.90	-0.06	-17.28	3.81
